__Provider:gps# ,__Satellies:13# ,__Bearing:91.84# ,__SpeedPerHour:20.016# ,__Accuracy:25.2984# ,__Time:1548210961999# ,__ElapsedRealtimeNanos:384682803951862# ,__Location:126.56471408420138,43.86198323567708# ,# ,__DifLocation:11.077983# ,__DifSpeed:2.4119987# ,__DifBearing:-75.49401# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.989# ,__CalcDifLocation:11.053076724446216# ,__CalcSpeedPerHour:20.00556873202935# ,__CalcAccelerSpeed:-1.7732291897614272(K/H)/second__Provider:gps# ,__Satellies:13# ,__Bearing:91.84# ,__SpeedPerHour:20.016# ,__Accuracy:25.2984# ,__Time:1548210961999# ,__ElapsedRealtimeNanos:384682803951862# ,__Location:126.56471408420138,43.86198323567708# ,# ,__DifLocation:11.077983# ,__DifSpeed:2.4119987# ,__DifBearing:-75.49401# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.989# ,__CalcDifLocation:11.053076724446216# ,__CalcSpeedPerHour:20.00556873202935# ,__CalcAccelerSpeed:-1.7732291897614272(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:13# ,__Bearing:88.46# ,__SpeedPerHour:18.9# ,__Accuracy:24.85967# ,__Time:1548210963999# ,__ElapsedRealtimeNanos:384684809297695# ,__Location:126.56484537760417,43.861966417100696# ,# ,__DifLocation:10.743397# ,__DifSpeed:1.1160011# ,__DifBearing:-80.09177# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.005# ,__CalcDifLocation:10.702973090114275# ,__CalcSpeedPerHour:19.217308291477007# ,__CalcAccelerSpeed:-0.39314735189643013(K/H)/second__Provider:gps# ,__Satellies:13# ,__Bearing:88.46# ,__SpeedPerHour:18.9# ,__Accuracy:24.85967# ,__Time:1548210963999# ,__ElapsedRealtimeNanos:384684809297695# ,__Location:126.56484537760417,43.861966417100696# ,# ,__DifLocation:10.743397# ,__DifSpeed:1.1160011# ,__DifBearing:-80.09177# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.005# ,__CalcDifLocation:10.702973090114275# ,__CalcSpeedPerHour:19.217308291477007# ,__CalcAccelerSpeed:-0.39314735189643013(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:14# ,__Bearing:90.64# ,__SpeedPerHour:16.74# ,__Accuracy:22.195951# ,__Time:1548210965999# ,__ElapsedRealtimeNanos:384686811469049# ,__Location:126.5649742296007,43.86200873480903# ,# ,__DifLocation:11.39138# ,__DifSpeed:2.1599998# ,__DifBearing:-114.470924# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.002# ,__CalcDifLocation:11.364344420755337# ,__CalcSpeedPerHour:20.43538457278682# ,__CalcAccelerSpeed:0.6084297109439625(K/H)/second__Provider:gps# ,__Satellies:14# ,__Bearing:90.64# ,__SpeedPerHour:16.74# ,__Accuracy:22.195951# ,__Time:1548210965999# ,__ElapsedRealtimeNanos:384686811469049# ,__Location:126.5649742296007,43.86200873480903# ,# ,__DifLocation:11.39138# ,__DifSpeed:2.1599998# ,__DifBearing:-114.470924# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.002# ,__CalcDifLocation:11.364344420755337# ,__CalcSpeedPerHour:20.43538457278682# ,__CalcAccelerSpeed:0.6084297109439625(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:14# ,__Bearing:89.1# ,__SpeedPerHour:16.416# ,__Accuracy:21.403818# ,__Time:1548210967999# ,__ElapsedRealtimeNanos:384688835864362# ,__Location:126.56509358723959,43.86201687282986# ,# ,__DifLocation:9.66611# ,__DifSpeed:0.3239994# ,__DifBearing:-95.40813# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.024# ,__CalcDifLocation:9.622685968220923# ,__CalcSpeedPerHour:17.115449350590573# ,__CalcAccelerSpeed:-1.640284200689845(K/H)/second__Provider:gps# ,__Satellies:14# ,__Bearing:89.1# ,__SpeedPerHour:16.416# ,__Accuracy:21.403818# ,__Time:1548210967999# ,__ElapsedRealtimeNanos:384688835864362# ,__Location:126.56509358723959,43.86201687282986# ,# ,__DifLocation:9.66611# ,__DifSpeed:0.3239994# ,__DifBearing:-95.40813# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.024# ,__CalcDifLocation:9.622685968220923# ,__CalcSpeedPerHour:17.115449350590573# ,__CalcAccelerSpeed:-1.640284200689845(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:15# ,__Bearing:91.69# ,__SpeedPerHour:18.324# ,__Accuracy:20.386898# ,__Time:1548210969999# ,__ElapsedRealtimeNanos:384690847864361# ,__Location:126.56522840711806,43.86201524522569# ,# ,__DifLocation:10.853217# ,__DifSpeed:-1.907999# ,__DifBearing:-89.19668# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.011# ,__CalcDifLocation:10.822502277183967# ,__CalcSpeedPerHour:19.373947388295512# ,__CalcAccelerSpeed:1.123072122180477(K/H)/second__Provider:gps# ,__Satellies:15# ,__Bearing:91.69# ,__SpeedPerHour:18.324# ,__Accuracy:20.386898# ,__Time:1548210969999# ,__ElapsedRealtimeNanos:384690847864361# ,__Location:126.56522840711806,43.86201524522569# ,# ,__DifLocation:10.853217# ,__DifSpeed:-1.907999# ,__DifBearing:-89.19668# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.011# ,__CalcDifLocation:10.822502277183967# ,__CalcSpeedPerHour:19.373947388295512# ,__CalcAccelerSpeed:1.123072122180477(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:15# ,__Bearing:91.1# ,__SpeedPerHour:19.332# ,__Accuracy:21.095463# ,__Time:1548210971999# ,__ElapsedRealtimeNanos:384692839747694# ,__Location:126.56537543402777,43.862012532552086# ,# ,__DifLocation:11.86767# ,__DifSpeed:-1.0080013# ,__DifBearing:-88.80364# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.991# ,__CalcDifLocation:11.804616280254857# ,__CalcSpeedPerHour:21.344358919596928# ,__CalcAccelerSpeed:0.9896592321955879(K/H)/second__Provider:gps# ,__Satellies:15# ,__Bearing:91.1# ,__SpeedPerHour:19.332# ,__Accuracy:21.095463# ,__Time:1548210971999# ,__ElapsedRealtimeNanos:384692839747694# ,__Location:126.56537543402777,43.862012532552086# ,# ,__DifLocation:11.86767# ,__DifSpeed:-1.0080013# ,__DifBearing:-88.80364# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.991# ,__CalcDifLocation:11.804616280254857# ,__CalcSpeedPerHour:21.344358919596928# ,__CalcAccelerSpeed:0.9896592321955879(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:15# ,__Bearing:91.34# ,__SpeedPerHour:18.432# ,__Accuracy:21.018593# ,__Time:1548210973999# ,__ElapsedRealtimeNanos:384694807455506# ,__Location:126.56550699869791,43.86200846354166# ,# ,__DifLocation:10.622808# ,__DifSpeed:0.9000015# ,__DifBearing:-87.59982# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.967# ,__CalcDifLocation:10.569425660431204# ,__CalcSpeedPerHour:19.344144574251313# ,__CalcAccelerSpeed:-1.0168857881777402(K/H)/second__Provider:gps# ,__Satellies:15# ,__Bearing:91.34# ,__SpeedPerHour:18.432# ,__Accuracy:21.018593# ,__Time:1548210973999# ,__ElapsedRealtimeNanos:384694807455506# ,__Location:126.56550699869791,43.86200846354166# ,# ,__DifLocation:10.622808# ,__DifSpeed:0.9000015# ,__DifBearing:-87.59982# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.967# ,__CalcDifLocation:10.569425660431204# ,__CalcSpeedPerHour:19.344144574251313# ,__CalcAccelerSpeed:-1.0168857881777402(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:16# ,__Bearing:95.68# ,__SpeedPerHour:15.336001# ,__Accuracy:21.13975# ,__Time:1548210975999# ,__ElapsedRealtimeNanos:384696809127902# ,__Location:126.56560356987848,43.86198323567708# ,# ,__DifLocation:8.271702# ,__DifSpeed:3.0959978# ,__DifBearing:-70.36898# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.001# ,__CalcDifLocation:8.244127147487392# ,__CalcSpeedPerHour:14.832012859047781# ,__CalcAccelerSpeed:-2.254938388407562(K/H)/second__Provider:gps# ,__Satellies:16# ,__Bearing:95.68# ,__SpeedPerHour:15.336001# ,__Accuracy:21.13975# ,__Time:1548210975999# ,__ElapsedRealtimeNanos:384696809127902# ,__Location:126.56560356987848,43.86198323567708# ,# ,__DifLocation:8.271702# ,__DifSpeed:3.0959978# ,__DifBearing:-70.36898# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.001# ,__CalcDifLocation:8.244127147487392# ,__CalcSpeedPerHour:14.832012859047781# ,__CalcAccelerSpeed:-2.254938388407562(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:16# ,__Bearing:91.07# ,__SpeedPerHour:9.432# ,__Accuracy:23.129564# ,__Time:1548210977999# ,__ElapsedRealtimeNanos:384698807746652# ,__Location:126.56564995659723,43.86197482638889# ,# ,__DifLocation:3.8313086# ,__DifSpeed:5.904001# ,__DifBearing:-75.858475# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.998# ,__CalcDifLocation:3.8390004414506413# ,__CalcSpeedPerHour:6.917117912523678# ,__CalcAccelerSpeed:-3.9614088821441955(K/H)/second__Provider:gps# ,__Satellies:16# ,__Bearing:91.07# ,__SpeedPerHour:9.432# ,__Accuracy:23.129564# ,__Time:1548210977999# ,__ElapsedRealtimeNanos:384698807746652# ,__Location:126.56564995659723,43.86197482638889# ,# ,__DifLocation:3.8313086# ,__DifSpeed:5.904001# ,__DifBearing:-75.858475# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.998# ,__CalcDifLocation:3.8390004414506413# ,__CalcSpeedPerHour:6.917117912523678# ,__CalcAccelerSpeed:-3.9614088821441955(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:17# ,__Bearing:33.53# ,__SpeedPerHour:4.68# ,__Accuracy:24.044962# ,__Time:1548210979999# ,__ElapsedRealtimeNanos:384700811537797# ,__Location:126.56567708333333,43.8619970703125# ,# ,__DifLocation:3.3178995# ,__DifSpeed:4.7520003# ,__DifBearing:-138.63849# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.003# ,__CalcDifLocation:3.2972636145777643# ,__CalcSpeedPerHour:5.9261852283973795# ,__CalcAccelerSpeed:-0.49472425567962985(K/H)/second__Provider:gps# ,__Satellies:17# ,__Bearing:33.53# ,__SpeedPerHour:4.68# ,__Accuracy:24.044962# ,__Time:1548210979999# ,__ElapsedRealtimeNanos:384700811537797# ,__Location:126.56567708333333,43.8619970703125# ,# ,__DifLocation:3.3178995# ,__DifSpeed:4.7520003# ,__DifBearing:-138.63849# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.003# ,__CalcDifLocation:3.2972636145777643# ,__CalcSpeedPerHour:5.9261852283973795# ,__CalcAccelerSpeed:-0.49472425567962985(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:17# ,__Bearing:9.48# ,__SpeedPerHour:0.0# ,__Accuracy:4.9# ,__Time:1548210981999# ,__ElapsedRealtimeNanos:384702809994568# ,__Location:126.56567843967014,43.86200113932291# ,# ,__DifLocation:0.44850615# ,__DifSpeed:4.68# ,__DifBearing:-168.18454# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.998# ,__CalcDifLocation:0.465858433685416# ,__CalcSpeedPerHour:0.8393845651989478# ,__CalcAccelerSpeed:-2.5459462778770927(K/H)/second__Provider:gps# ,__Satellies:17# ,__Bearing:9.48# ,__SpeedPerHour:0.0# ,__Accuracy:4.9# ,__Time:1548210981999# ,__ElapsedRealtimeNanos:384702809994568# ,__Location:126.56567843967014,43.86200113932291# ,# ,__DifLocation:0.44850615# ,__DifSpeed:4.68# ,__DifBearing:-168.18454# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.998# ,__CalcDifLocation:0.465858433685416# ,__CalcSpeedPerHour:0.8393845651989478# ,__CalcAccelerSpeed:-2.5459462778770927(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
